,Name,Political Party,Twitter Handle
193,Thabile Sylvia Masondo,African National Congress (ANC),
194,Godfrey Phumulo Masualle,African National Congress (ANC),
195,Mkhacani Joseph Maswanganyi,African National Congress (ANC),
196,Oscar Masarona Mathafa,African National Congress (ANC),
197,Mr Cassel Charlie Mathale,African National Congress (ANC),
198,Elphus Fani Mathebula,African National Congress (ANC),
199,Mr Nthako Sam Matiase,Economic Freedom Fighters (EFF),@Sam_Matiase
200,Ms Natasha Wendy Anita Mazzone,Democratic Alliance (DA),@Natasha9Mazzone
201,Ms Thandeka Moloko Mbabama,Democratic Alliance (DA),
202,Mr Fikile Mbalula,African National Congress (ANC),@MbalulaFikile
203,Simphiwe Gcwele Nomvula Mbatha,African National Congress (ANC),
204,Mr Zakhele Njabulo Mbhele,Democratic Alliance (DA),@zakhelembhele
205,Ms Bongiwe Pricilla Mbinqo-Gigaba,African National Congress (ANC),@GigabaMbinqo
206,Tito Mboweni,African National Congress (ANC),@tito_mboweni
207,Simanga Happy Mbuyane,African National Congress (ANC),
208,Lawrence Edward McDonald,African National Congress (ANC),@macdee_ANC
209,Mr Joseph Job McGluwa,Democratic Alliance (DA),@McGluwajj
210,Mr Edward Senzo Mchunu,African National Congress (ANC),
211,Thembeka Vuyisile Buyisile Mchunu,African National Congress (ANC),
212,Sibusiso Welcome Mdabe,African National Congress (ANC),
213,Ms Ntombovuyo Veronica Mente,Economic Freedom Fighters (EFF),@veronica_mente
214,Rev Kenneth Raselabe Joseph Meshoe,African Christian Democratic Party (ACDP),@RevMeshoe
215,Pieter Mey,"Freedom Front + (Vryheidsfront Plus, FF+)",
216,Teliswa Mgweba,African National Congress (ANC),
217,Makgabo Reginah Mhaule,African National Congress (ANC),
218,Mr Tsepo Winston Mhlongo,Democratic Alliance (DA),@tsepomhlongo
219,Mr Kevin John Mileham,Democratic Alliance (DA),@kmileham
220,Ms Lindiwe Ntombikayise Mjobo,African National Congress (ANC),
221,Ms Hlengiwe Octavia Mkhaliphi,Economic Freedom Fighters (EFF),@HhMkhaliphi
222,Nompendulo Thobile Mkhatshwa,African National Congress (ANC),
223,Dr Zweli Mkhize,African National Congress (ANC),@DrZweliMkhize
224,Prof Hlengiwe Mkhize,African National Congress (ANC),@ProfMkhize
225,Jabulile Cynthia Nightingale Mkhwanazi,African National Congress (ANC),
226,Mr Zola Mlenzana,African National Congress (ANC),
227,Thabo Nelson Mmutle,African National Congress (ANC),
228,Mr Pumzile Justice Mnguni,African National Congress (ANC),@PJMnguni
229,Raesibe Martha Moatshe,African National Congress (ANC),
230,Phillip Matsapole Pogiso Modise,African National Congress (ANC),
231,Moleboheng Modise,African National Congress (ANC),
232,Ms Thandi Ruth Modise,African National Congress (ANC),
233,Desmond Lawrence Moela,African National Congress (ANC),
234,Jacqueline Mofokeng,African National Congress (ANC),
235,Hisamodien Mohamed,African National Congress (ANC),
236,Mathibe Rebecca Mohlala,Economic Freedom Fighters (EFF),@MathibeRebecca
237,Shirley Motshegoane Mokgotho,Economic Freedom Fighters (EFF),
238,Maroga Lazarus Mokoena,Economic Freedom Fighters (EFF),
239,Lesiba Ezekiel Molala,African National Congress (ANC),
240,Ms Mathedi Asnath Molekwa,African National Congress (ANC),
241,Boitumelo Elizabeth Moloi,African National Congress (ANC),
242,Mothusi Kenneth Montwedi,Economic Freedom Fighters (EFF),@MothusiMontwedi
243,Patamedi Ronald Moroatshehla,African National Congress (ANC),
244,Itiseng Kenneth Morolong,African National Congress (ANC),
245,Anastasia Motaung,African National Congress (ANC),
246,Nomasonto Evelyn Motaung,African National Congress (ANC),
247,Mr Pebane George Moteka,Economic Freedom Fighters (EFF),@PebaneMoteka
248,Ciliesta Catherine Shoana Motsepe,Economic Freedom Fighters (EFF),
249,Dr Mathole Serofo Motshekga,African National Congress (ANC),
250,Mrs Angie Motshekga,African National Congress (ANC),
251,Dr Aaron Motsoaledi,African National Congress (ANC),
252,Ms Tandi Gloria Mpambo-Sibhukwana,Democratic Alliance (DA),
253,Terence Skhumbuzo Mpanza,African National Congress (ANC),
254,Luyolo Mphithi,Democratic Alliance (DA),@LuyoloMphithi
255,Gordon Gcinikhaya Mpumza,African National Congress (ANC),
256,Thembi Portia Msane,Economic Freedom Fighters (EFF),@MsaneThembi
257,Prof Christian Themba Msimang,Inkatha Freedom Party (IFP),
258,Mr Jackson Mphikwa Mthembu,African National Congress (ANC),@JacksonMthembu_
259,Alice Hlebani Mthembu,African National Congress (ANC),
260,Dumisani Fannie Mthenjane,Economic Freedom Fighters (EFF),
261,Mr Nathi Mthethwa,African National Congress (ANC),@NathiMthethwaSA
262,Adv Thilivhali Elphus Mulaudzi,Economic Freedom Fighters (EFF),
263,Dr Cornelius Petrus Mulder,"Freedom Front + (Vryheidsfront Plus, FF+)",@MulderCorn
264,Frederik Jacobus Mulder,"Freedom Front + (Vryheidsfront Plus, FF+)",
265,Tshilidzi Bethuel Munyai,African National Congress (ANC),
266,Ms Faith Muthambi,African National Congress (ANC),@faithmuthambi
267,Nonkosi Queenie Mvana,African National Congress (ANC),
268,Ernest Thokozani Myeni,African National Congress (ANC),
269,Ms Claudia Nonhlanhla Ndaba,African National Congress (ANC),
270,Ms Stella Ndabeni-Abrahams,African National Congress (ANC),@Stellarated
271,Dr Mbuyiseni Quintin Ndlozi,Economic Freedom Fighters (EFF),@MbuyiseniNdlozi
272,Mrs Wilma Susan Newhoudt-Druchen,African National Congress (ANC),@newhoudt
273,Sibongiseni Ngcobo,Democratic Alliance (DA),
274,Siphosethu Lindinkosi Ngcobo,Inkatha Freedom Party (IFP),
275,Delisile Blessing Ngwenya,Economic Freedom Fighters (EFF),
276,Xolani Ngwezi,Inkatha Freedom Party (IFP),
277,Nobuhle Pamela Nkabane,African National Congress (ANC),
278,Ms Maite Nkoana-Mashabane,African National Congress (ANC),
279,Zanele Nkomo,African National Congress (ANC),
280,Bekizwe Simon Nkosi,African National Congress (ANC),
281,Duma Moses Nkosi,African National Congress (ANC),
282,Baxolile Babongile Nodada,Democratic Alliance (DA),@BaxNodada
283,Nontando Nolutshungu,Economic Freedom Fighters (EFF),
284,Mncedisi Nontsele,African National Congress (ANC),
285,Xola Nqola,African National Congress (ANC),
286,Ms Elsabe Natasha Ntlangwini,Economic Freedom Fighters (EFF),@NatashaNtlangw1
287,Nolitha Ntobongwana,African National Congress (ANC),
288,Mr Madala Louis David Ntombela,African National Congress (ANC),
289,Khumbudzo Ntshavheni,African National Congress (ANC),
290,Mr Lulama Maxwell Ntshayisa,African Independent Congress (AIC),
291,Makhoni Maria Ntuli,African National Congress (ANC),
292,Mr Thulas Nxesi,African National Congress (ANC),
293,Mthokozisi Nkululeko Nxumalo,Inkatha Freedom Party (IFP),
294,Mzwanele Nyhontso,Pan Africanist Congress of Azania (PAC),
295,Dr Blade Nzimande,African National Congress (ANC),@DrBladeNzimande
296,Njabulo Bheka Nzuza,African National Congress (ANC),
297,Gizella Opperman,Democratic Alliance (DA),
298,Vuyani Pambo,Economic Freedom Fighters (EFF),@vuyanipambo
299,Dr Naledi Pandor,African National Congress (ANC),@NalediPandor
300,Hope Papo,African National Congress (ANC),
301,Mr Ebrahim Patel,African National Congress (ANC),
302,Siphokuhle Patrein,African National Congress (ANC),
303,Mr Mogamad Nazier Paulsen,Economic Freedom Fighters (EFF),@NazierPaulsen
304,Ntaoleng Patricia Peacock,African National Congress (ANC),
305,Zamuxolo Joseph Peter,African National Congress (ANC),
306,Ms Dipuo Peters,African National Congress (ANC),@DipuoPeters
307,Dr Joseph Phaahla,African National Congress (ANC),
308,Cheryl Phillips,Democratic Alliance (DA),
309,Carol Mokgadi Phiri,African National Congress (ANC),
310,Dr Makgathatso Charlotte Chana Pilane-Majake,African National Congress (ANC),@DrPilane_Majake
311,Emma Louise Powell,Democratic Alliance (DA),@powellemmaloui1
