name,political_party,twitter_account,wiki_data,last_updated
Mr Anele Benedict Goyiya,ANC,none_found,,2019-07-31
Ms Cathlene Labuschagne,DA,cathlabuschagne,https://www.wikidata.org/wiki/Q5053053,2019-07-31
Mr Ignatius Michael Groenewald,FFPlus,none_found,https://www.wikidata.org/wiki/Q64399420,2019-07-31
Dr Petrus Johannes Groenewald,FFPlus,GroenewaldPJ,https://www.wikidata.org/wiki/Q11816850,2019-07-31
Mr Hlanganani Siphelele Gumbi,DA,HlangananiGumbi,https://www.wikidata.org/wiki/Q64399340,2019-07-31
Mr Tshilidzi Thomas Gumbu,ANC,none_found,https://www.wikidata.org/wiki/Q64399369,2019-07-31
Mr Sibusiso Nigel Gumede,ANC,none_found,https://www.wikidata.org/wiki/Q64399359,2019-07-31
Mr Mondli Gungubele,ANC,GungubeleMondli,https://www.wikidata.org/wiki/Q16746664,2019-07-31
Mr Bheki Mathews Hadebe,ANC,none_found,https://www.wikidata.org/wiki/Q64399401,2019-07-31
Mr Mogamad Ganief Ebrahim Hendricks,AlJamaAh,none_found,https://www.wikidata.org/wiki/Q64399413,2019-07-31
Ms Nombulelo Lilian Hermans,ANC,none_found,,2019-07-31
Ms Judy Hermans,ANC,none_found,,2019-07-31
Mrs Madeleine Bertine Hicklin,DA,maddiebhicklin,https://www.wikidata.org/wiki/Q64399304,2019-07-31
Mr Geordin Gwyn Hill-Lewis,DA,geordinhl,https://www.wikidata.org/wiki/Q5535621,2019-07-31
Mr Nceba Ephraim Hinana,DA,none_found,https://www.wikidata.org/wiki/Q60442522,2019-07-31
Ms Magdalena Duduzile Hlengwa,IFP,none_found,https://www.wikidata.org/wiki/Q64399335,2019-07-31
Mr Mkhuleko Hlengwa,IFP,MkhulekoHlengwa,https://www.wikidata.org/wiki/Q47529853,2019-07-31
Ms Altia Sthembile Hlongo,ANC,none_found,https://www.wikidata.org/wiki/Q64399374,2019-07-31
Ms Bavelile Gloria Hlongwa,ANC,bavelile,https://www.wikidata.org/wiki/Q64399353,2019-07-31
Mrs Khonziwe Ntokozo Fortunate Hlonyana,EFF,hlonyanantokozo,https://www.wikidata.org/wiki/Q48081399,2019-07-31
Mr Bantubonke Harrington Holomisa,UDM,BantuHolomisa,https://www.wikidata.org/wiki/Q730472,2019-07-31
Inkosi Sango Patekile Holomisa,ANC,none_found,https://www.wikidata.org/wiki/Q47529985,2019-07-31
Mr Mohammed Haniff Hoosen,DA,haniffhoosen,https://www.wikidata.org/wiki/Q47529736,2019-07-31
Mr Werner Horn,DA,wernerhorn2,https://www.wikidata.org/wiki/Q47529849,2019-07-31
Mr Christian Hans Heinrich Hunsinger,DA,CHunsingerMP,https://www.wikidata.org/wiki/Q21932116,2019-07-31
Ms Haseenabanu Ismail,DA,none_found,https://www.wikidata.org/wiki/Q64399478,2019-07-31
Mr Faiez Jacobs,ANC,Faiezj,https://www.wikidata.org/wiki/Q64399398,2019-07-31
Mr Kenneth Leonard Jacobs,ANC,none_found,https://www.wikidata.org/wiki/Q64399400,2019-07-31
Mr Tyotyo Hubert James,ANC,none_found,https://www.wikidata.org/wiki/Q64399462,2019-07-31
Mr John Harold Jeffery,ANC,jhjsa,https://www.wikidata.org/wiki/Q16746668,2019-07-31
Ms Tina Monica Joemat-Pettersson,ANC,none_found,https://www.wikidata.org/wiki/Q4956754,2019-07-31
Ms Heloise Jordaan,FFPlus,heloisejordaan,https://www.wikidata.org/wiki/Q64399419,2019-07-31
Mr Denis Joseph,DA,none_found,,2019-07-31
Mr Jacques Warren William Julius,DA,jacqueswwjulius,https://www.wikidata.org/wiki/Q64399450,2019-07-31
Mr Phuti Peter Keetse,EFF,ppkeetse92,https://www.wikidata.org/wiki/Q64399342,2019-07-31
Ms Pinky Sharon Kekana,ANC,Pinky_Kekana1,https://www.wikidata.org/wiki/Q47529676,2019-07-31
Mr Thanduxolo David Khalipha,ANC,none_found,https://www.wikidata.org/wiki/Q64399301,2019-07-31
Ms Thembisile Angel Khanyile,DA,angel_khanyile,https://www.wikidata.org/wiki/Q48086661,2019-07-31
Ms Makoti Sibongile Khawula,EFF,mamkhawula,https://www.wikidata.org/wiki/Q47529859,2019-07-31
Ms Mirriam Thenjiwe Kibi,ANC,none_found,https://www.wikidata.org/wiki/Q64399384,2019-07-31
Ms Chantel Valencia King,DA,kingchantel39,https://www.wikidata.org/wiki/Q47529969,2019-07-31
Ms Noxolo Kiviet,ANC,noxolokiviet,https://www.wikidata.org/wiki/Q540922,2019-07-31
Mr Ncediso Goodenough Kodwa,ANC,zizikodwa,https://www.wikidata.org/wiki/Q47890821,2019-07-31
Ms Dianne Kohler,DA,DKB20,https://www.wikidata.org/wiki/Q592604,2019-07-31
Ms Rosina Ntshetsana Komane,EFF,none_found,https://www.wikidata.org/wiki/Q64422656,2019-07-31
Ms Nkagisang Poppy Koni,EFF,NkagiMokgosi,,2019-07-31
Dr Gerhardus Willem Koornhof,ANC,none_found,https://www.wikidata.org/wiki/Q16746675,2019-07-31
Mrs Semakaleng Patricia Kopane,DA,patriciakopane,https://www.wikidata.org/wiki/Q7145677,2019-07-31
Mr Hendrik Christiaan Crafford Krüger,DA,henrokruger,https://www.wikidata.org/wiki/Q47536490,2019-07-31
Mr Gregory Rudy Krumbock,DA,FrontLineGreg,https://www.wikidata.org/wiki/Q5607020,2019-07-31
Ms Mmamoloko Tryphosa Kubayi-Ngubane,ANC,mmKubayiNgubane,https://www.wikidata.org/wiki/Q16746680,2019-07-31
Ms Nomsa Josephina Kubheka,ANC,none_found,https://www.wikidata.org/wiki/Q64399299,2019-07-31
Mr Sibusiso Macdonald Kula,ANC,AncKula,https://www.wikidata.org/wiki/Q64399388,2019-07-31
Mr Nqabayomzi Lawrence Saziso Kwankwa,UDM,N_Kwankwa,https://www.wikidata.org/wiki/Q47529933,2019-07-31
Ms Delmaine Chesley Christians,DA,cathlabuschagne,https://www.wikidata.org/wiki/Q5053053,2019-07-31
Mr Ronald Ozzy Lamola,DA,ronaldlamola,https://www.wikidata.org/wiki/Q1718291,2019-07-31
Mr Eric Riaan Landsman,ANC,none_found,,2019-07-31
Mr Thokozani Makhosonke Langa,EFF,none_found,https://www.wikidata.org/wiki/Q64399437,2019-07-31
Mr Robert Alfred Lees,DA,none_found,https://www.wikidata.org/wiki/Q47530024,2019-07-31
Ms Tidimalo Innocentia Legwase,ANC,none_found,https://www.wikidata.org/wiki/Q64399395,2019-07-31
Ms Seneanye Betta Lehihi,EFF,none_found,,2019-07-31
